class,weight
C,94.32867132867133
EP,1226.2727272727273
FD,1.1707168894289186
FM,354.9736842105263
GC,2248.1666666666665
JS,16.673671199011125
MA,254.50943396226418
MR,4496.333333333333
NB,94.32867132867133
NFM,18.813110181311018
S,539.5600000000001
SSP,709.9473684210526
